firstname,middlename,surname,office,title,region,province,city
Benigno,S,Aquino III,Office of the President,President,,,
Paquito,N,Ochoa Jr.,Office of the President,Executive Secretary,,,
Edwin,,Lacierda,Office of the President,Presidential Spokesperson,,,
Jose Rene,D,Almendras,Office of the President,Cabinet Secretary,,,
Alfredo Benjamin,S,Caguioa,Office of the President,Chief Presidential Legal Counsel,,,
Ronaldo,M,Llamas,Office of the President,Political Adviser on Political Affairs,,,
Danilo,M,Cortez,Office of the President,Presidential Adviser on Military Affairs,,,
Elisea,G,Gozun,Office of the President,"Presidential Assistant II, Climate Change",,,
Jaime Aristotle,M,Alip,Office of the President,Presidential Adviser on Economic Empowerment of the Rural Poor,,,
Yasmin ,B,Lao,Office of the President,Presidential Assistant for Muslim Concerns,,,
Panfilo,M,Lacson,Office of the President,Presidential Assistant for Rehabilitation and Recovery,,,
Nora,C,Oliveros,Office of the President,Deputy Executive Secretary of Finance and Administration,,,
Michael,G,Aguinaldo,Office of the President,Deputy Executive Secretary of Legal Affairs,,,
Teofilo,S,Pilando Jr.,Office of the President,Deputy Executive Secretary of General Administration,,,
Alberto,A,Bernardo,Office of the President,Deputy Executive Secretary of Internal Audit,,,
Ma. Lourdes,A,Ong,Office of the President,Presidential Assistant I,,,
Rochelle,R,Ahorro,Office of the President,Appointments Secretary,,,
Celia Anna,M,Feria,Office of the President,Chief of Presidential Protocol and Presidential Assistant on Foreign Affairs,,,
Mary Antoniette Lucille ,P,Ortile,Office of the President,"Undersecretary, Chief of Staff",,,
Michael Frederick,D. L.,Musngi,Office of the President,"Undersecretary, Office of the Executive Secretary",,,
Ronald,A,Geron,Office of the President,"Undersecretary, Discipline Office",,,
Nabil ,A,Tan,Office of the President,"Undersecretary, Office of the Executive Secretary (ATC-PMO)",,,
Alexander,P,Pama,Office of the President,"Undersecretary, Office of the Executive Secretary",,,
Reynaldo,p,Cruz,Office of the President,"Undersecretary, Office of the Executive Secretary",,,
Eduardo,,Oban,Office of the President,"Undersecretary, Office of the Executive Secretary",,,
Marciano,,Paynor Jr.,Office of the President,"Undersecretary, Office of the Executive Secretary",,,
Jose Luis,,Alano,Office of the President,"Undersecretary, Office of the Executive Secretary",,,
Jose Luis Martin,C,Gascon,Office of the President,"Undersecretary, Office of Political Adviser",,,
Vivencio,B,Dizon,Office of the President,"Undersecretary, Office of Political Adviser",,,
Ibarra,M,Gutierrez III,Office of the President,"Undersecretary, Office of Political Affairs",,,
Reginald,D,Villasanta,Office of the President,Undersecretary,,,
Christian,M,Castillo,Office of the President,"Undersecretary, Office of the Chief Presidential Legal Counsel",,,
Severo,S,Catura,Office of the President,"Undersecretary, Pres’l. Human Rights Committee Secretariat",,,
