firstname,middlename,surname,title,region,province,city
Franklin,M.,Drilon,Senate President,,,
Ralph,G,Recto,Senator President Pro-Tempore,,,
Alan Peter,S.,Cayetano,Senate Majority Leader,,,
Juan Ponce,,Enrile,Senate Minority Leader,,,
Juan Edgardo ,M.,Angara,Senator ,,,
Paolo Benigno,,Aquino,Senator,,,
Maria Lourdes Nancy,S.,Binay,Senator,,,
Pia ,S. ,Cayetano,Senator,,,
Miriam Defensor,,Santiago,Senator,,,
Joseph Victor,G.,Ejercito,Senator,,,
Francis Joseph,G.,Escudero,Senator,,,
Teofisto,L. ,Guingona III,Senator,,,
Gregorio ,B. ,Honasan II,Senator,,,
Jinggoy Ejercito,,Estrada,Senator,,,
Manuel,M. ,Lapid,Senator,,,
Loren,B. ,Legarda,Senator,,,
Ferdinand,R.,Marcos Jr.,Senator,,,
Sergio,R.,Osmeña,Senator,,,
Grace,L. ,Poe,Senator,,,
Aquilino Martin,L. ,Pimentel III,Senator,,,
Ramon,B. ,Revilla,Senator,,,
Antonio ,F.,Trillanes,Senator,,,
Cynthia,A.,Villar,Senator,,,
Oscar ,G.,Yabes,Senate Secretary,,,
Jose ,V.,Balajadia Jr.,Sergeant-at-Arms,,,
Edwin,B. ,Bellen,Deputy Secretary of Legislation,,,
Arnel Jose,S.,Bañas,Deputy Secretary of Administration and Financial Services,,,
Maria Valentina,S.,Santana-Cruz,Senate Legal Counsel,,,
Peter Paul,L. ,Pineda,Deputy Secretary of External Affairs and Relations,,,
Yolanda,D.,Doblon,"Director-General, Legislative Budget Research and Monitoring Office",,,
Rodelio,T.,Dascil,"Director-General, Senate Tax Study-Research Office",,,
Antonio ,G.,De Guzman Jr.,"Director-General, Office of the International Relations and Protocol",,,
Rodolfo Noel,S.,Quimbo,"Director-General, Blue Ribbon Oversight Office Management",,,
Ronald,R.,Golding,"Director-General, Senate Economic Planning Office",,,
Feliciano,,Belmonte Jr.,Speaker,,,
Henedina,R. ,Abad,Deputy Speaker,,,
Georgidi,B. ,Aggabao,Deputy Speaker,,,
Seorgio Antonio,F.,Apostol,Deputy Speaker,,,
Pangalian,M.,Balindong,Deputy Speaker,,,
Carlos,M.,Padilla,Deputy Speaker,,,
Roberto,V.,Puno,Deputy Speaker,,,
Neptali ,M.,Gonzales II,Majority Leader,,,
Ronaldo,B. ,Zamora,Minority Leader,,,
Ma. Jocelyn,V.,Bernos,"Representative, Lone",CAR,Abra,
Eleonor,C. ,Bulut-Begtang,"Representative, Lone",CAR,Apayao,
Nicasio ,M.,Aliping Jr.,"Representative, Lone",CAR,Baguio,
Ronald,M.,Cosalan,"Representative, Lone",CAR,Benguet,
Teodoro,B. ,Baguilat Jr.,"Representative, Lone",CAR,Ifugao,
Manuel ,S.,Agyao,"Representative, Lone",CAR,Kalinga,
Maximo,B. ,Dalog,"Representative, Lone",CAR,Mountain Province,
Enrico ,R.,Echiverri,"Representative, District 1",NCR,,Caloocan
Edgar,R.,Erice,"Representative, District 2",NCR,,Caloocan
Benjamin,DR.,Asilo,"Representative, District 1",NCR,,Manila
Carlo ,V.,Lopez,"Representative, District 2",NCR,,Manila
Ma. Zenaida,B. ,Angping,"Representative, District 3",NCR,,Manila
Ma. Theresa,B. ,Bonoan-David,"Representative, District 4",NCR,,Manila
Amado,S.,Bagatsing,"Representative, District 5",NCR,,Manila
Rosenda Ann,,Ocampo,"Representative, District 6",NCR,,Manila
Mark,A.,Villar,"Representative, Lone",NCR,,Las Piñas
Monique Yazmin,Q.,Lagdameo,"Representative, District 1",NCR,,Makati
Mar-Len Abigail,S.,Binay,"Representative, District 2",NCR,,Makati
Josephine Veronique,R.,Lacson-Noel,"Representative, Lone",NCR,,Malabon
Neptali ,M.,Gonzales II,"Representative, Lone",NCR,,Mandaluyong
Marcelino ,R.,Teodoro,"Representative, District 1",NCR,,Marikina
Romero Federico,S.,Quimbo,"Representative, District 2",NCR,,Marikina
Rodolfo ,G.,Biazon,"Representative, Lone",NCR,,Muntinlupa
Tobias,M.,Tianco,"Representative, Lone",NCR,,Navotas
Eric ,DL.,Olivarez,"Representative, District 1",NCR,,Parañaque
Gustavo ,S.,Tambunting,"Representative, District 2",NCR,,Parañaque
