firstname,middlename,surname,title,region,province,city
Oscar, G. ,Malapitan,Mayor,NCR,,Caloocan
"Macario, III",E.,Asistio ,Vice Mayor,NCR,,Caloocan
Vergel,A.,Aguilar,Mayor,NCR,,Las Pinas
Luis,I. ,Bustamante,Vice Mayor,NCR,,Las Pinas
Jejomar,E.,Binay,Mayor,NCR,,Makati
"Romulo, Jr.",V. ,Peña,Vice Mayor,NCR,,Makati
"Antolin, III",A.,Oreta,Mayor,NCR,,Malabon
Jeannie,N ,Sandoval,Vice Mayor,NCR,,Malabon
"Benjamin, Jr.",C,Abalos,Mayor,NCR,,Mandaluyong
Edward,G,Bartolome,Vice Mayor,NCR,,Mandaluyong
Joseph,M.,Estrada Ejercito,Mayor,NCR,,Manila
Francisco,M,Damagoso,Vice Mayor,NCR,,Manila
Del,R.,De Guzman,Mayor,NCR,,Marikina
Jose Fabian,I. ,Cadiz,Vice Mayor,NCR,,Marikina
Jaime,R.,Fresnedi,Mayor,NCR,,Muntinlupa
Artemio,A.,Simundac,Vice Mayor,NCR,,Muntinlupa
John Reynald,M,Tiangco,Mayor,NCR,,Navotas
Clint Nicolas,B,Geronimo,Vice Mayor,NCR,,Navotas
Edwin ,L,Olivarez,Mayor,NCR,,Parañaque
Jose Enrico,T,Golez,Vice Mayor,NCR,,Parañaque
Antonino,G,Calixto,Mayor,NCR,,Pasay
Marlon,A.,Pesebre,Vice Mayor,NCR,,Pasay
Maria Belen,A.,Eusebio,Mayor,NCR,,Pasig
Iyo Christian,C,Bernardo,Vice Mayor,NCR,,Pasig
Jaime,C,Medina,Mayor,NCR,,Pateros
Gerald,S,German,Vice Mayor,NCR,,Pateros
Herbert Constantine,M,Bautista,Mayor,NCR,,Quezon
Ma. Josefina,G,Belmonte,Vice Mayor,NCR,,Quezon
Guia,G,Gomez,Mayor,NCR,,San Juan
"Francisco, Jr.",M,Zamora,Vice Mayor,NCR,,San Juan
Maria Laarni,L,Cayetano,Mayor,NCR,,Taguig
"Ricardo, Jr.",S,Cruz,Vice Mayor,NCR,,Taguig
Rex,T,Gatchalian,Mayor,NCR,,Valenzuela
Eric,M,Martinez,Vice Mayor,NCR,,Valenzuela
Eustaquio,P,Bersamin,Governor,CAR,Abra,
Rosario,A,Bersamin,Vice Governor,CAR,Abra,
Dominic,B,Valera,Mayor,CAR,Abra,Bangued
Allan ,p,Seares,Vice Mayor,CAR,Abra,Bangued
"Benido, Sr.",L. ,Balao-as,Mayor,CAR,Abra,Boliney
Querico ,s,stimson,Vice Mayor,CAR,Abra,Boliney
"Victorino, Jr.",B.,Baroña,Mayor,CAR,Abra,Bucay
Ludevina,G,Co,Vice Mayor,CAR,Abra,Bucay
Gody,H,Cardenas,Mayor,CAR,Abra,Bucloc
Macbey,L,Latawan,Vice Mayor,CAR,Abra,Bucloc
Salma,Q,Padilla,Mayor,CAR,Abra,Daguioman
Oliver,B.,Bag-ayan,Vice Mayor,CAR,Abra,Daguioman
Esther,B,Bernos,Mayor,CAR,Abra,Danglas
Andres,B,Bernos,Vice Mayor,CAR,Abra,Danglas
"Robert Victor, Jr.",G,Seares,Mayor,CAR,Abra,Dolores
Emelito,T,Cortez,Vice Mayor,CAR,Abra,Dolores
Joseph Sto. Nino,B,Bernos,Mayor,CAR,Abra,La Paz
Menchie,B,Bernos,Vice Mayor,CAR,Abra,La Paz
Estelita,B,Bersamina,Mayor,CAR,Abra,Lacub
Leo,PB.,Baroña,Vice Mayor,CAR,Abra,Lacub
"Patrocino, Jr.",B,Abaya,Mayor,CAR,Abra,Lagangilang
Cresencio,M,Aspacio,Vice Mayor,CAR,Abra,Lagangilang
Jendrick,S,Luna,Mayor,CAR,Abra,Lagayan
Joy Chrisma,B,Luna,Vice Mayor,CAR,Abra,Lagayan
Noel,P,Castillo,Mayor,CAR,Abra,Langiden
Secel ,B,Palecpec,Vice Mayor,CAR,Abra,Langiden
Alejo,S,Domingo,Mayor,CAR,Abra,Licuan Baay
"Arnold, Sr.",B,Molina,Vice Mayor,CAR,Abra,Licuan Baay
"Marcelo, Sr.",A,Biscarra,Mayor,CAR,Abra,Luba
Romero,S,Daoten,Vice Mayor,CAR,Abra,Luba
Benido ,G,Bacuyag,Mayor,CAR,Abra,Malibcong
Regino,B,Siddayao,Vice Mayor,CAR,Abra,Malibcong
Darrel,O,Domasing,Mayor,CAR,Abra,Manabo
Arturo,S,Gayao,Vice Mayor,CAR,Abra,Manabo
Geraldine,M,Balbuena,Mayor,CAR,Abra,Peñarrubia
Jane,M,Cecilia,Vice Mayor,CAR,Abra,Peñarrubia
Jannsen,B,Valera,Mayor,CAR,Abra,Pidigan
Arnulfo,N ,Bisares,Vice Mayor,CAR,Abra,Pidigan
Jaja Josefina ,S. ,Disono,Mayor,CAR,Abra,Pilar
Christopher,S,Beroña,Vice Mayor,CAR,Abra,Pilar
Nenita,M,Cardenas,Mayor,CAR,Abra, Sal-Lapadan
